商品Id,商品名称,商品价格,商品Url,评价人数,好评率,中评率,差评率
67054104675,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 100只一次性口罩（50只装/盒）,128.90,//item.jd.com/67054104675.html,124943,0.92,0.03,0.05
66712398837,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 100只(2盒50只装),128.50,//item.jd.com/66712398837.html,318739,0.92,0.031,0.049
66235396248,惠寻 【京东自有品牌】一次性医用口罩 带熔喷层 全塑鼻梁条 蓝色三层成人男女通用拍下24小时发货 医用口罩【10片装】,22.90,//item.jd.com/66235396248.html,473905,0.96,0.025,0.015
100011850468,三奇3Q 高效过滤一次性口罩3层挂耳盒装12枚入-14.5cm青少年口罩小脸成人口罩小尺寸防护口罩,28.00,//item.jd.com/100011850468.html,1337651,0.98,0.016,0.004
100012620568,京东京造工厂店 典忆一次性医用口罩带熔喷层防护 蓝色三层 成人男女通用50片/盒,119.00,//item.jd.com/100012620568.html,60451,0.96,0.024,0.016
100012075540,京东京造工厂店 乔威康一次性防护口罩 三层立体防护熔喷无纺布过滤口罩50只装,99.00,//item.jd.com/100012075540.html,46514,0.93,0.029,0.041
67813342285,闪电卫士一次性防护口罩 无纺布带熔喷层 全塑鼻梁条 蓝色三层轻薄透气学生成人男女通用 经典款【10片装】,16.90,//item.jd.com/67813342285.html,48300,0.93,0.027,0.043
100007065029,京东京造工厂店 Shuter Life一次性医用口罩【单片独立装】50片/盒 带熔喷层防护 蓝色三层 成人男女通用,139.00,//item.jd.com/100007065029.html,280466,0.95,0.03,0.02
100011385146,三奇3Q一次性医用外科口罩透气轻薄成人3层医用口罩 1袋10只(非无菌型),25.00,//item.jd.com/100011385146.html,1337660,0.98,0.016,0.004
100011531558,"京东超市	
袋鼠医生（DR.ROOS）医用外科口罩一次性成人男女通用 口罩 10只/包 3层无菌挂耳",30.90,//item.jd.com/100011531558.html,419185,0.99,0.007,0.003
100006979473,京东京造 无菌级一次性医用口罩带熔喷层防护【金属鼻梁夹升级款 】蓝色三层 成人男女通用50只/盒(内含5袋，每袋10只装）,129.00,//item.jd.com/100006979473.html,60453,0.96,0.024,0.016
67813342287,闪电卫士一次性防护口罩 无纺布带熔喷层 全塑鼻梁条 蓝色三层轻薄透气学生成人男女通用 经典款【50片装】,65.90,//item.jd.com/67813342287.html,48424,0.93,0.027,0.043
100006349587,振德 （ZHENDE) 口罩一次性医用口罩男女无纺布内里口罩防尘防柳絮防花粉骑行透气 10只/包  浅蓝,29.80,//item.jd.com/100006349587.html,414036,0.99,0.008,0.002
100012683072,"
MASTO 一次性三层立体防护口罩 轻薄夏季适用防雾霾防尘防花粉成人男女通用款 65枚装",179.00,//item.jd.com/100012683072.html,6497,0.96,0.026,0.014
66712398833,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 20只(2盒10只装),29.80,//item.jd.com/66712398833.html,318744,0.92,0.031,0.049
100011283284,维德（WELLDAY）成人医用口罩一次性无菌防尘防柳絮透气防护 10只（10只*1袋）,23.80,//item.jd.com/100011283284.html,225322,0.96,0.025,0.015
100006954729,"京东超市	
佳佰  一次性口罩 防尘透气防护口鼻罩 出行口罩  蓝色三层盒装 50只/盒",74.90,//item.jd.com/100006954729.html,12214,0.94,0.037,0.023
66740084683,庭七 医用口罩 一次性医用口罩透气成人3层熔喷布防护口罩 一次性医用口罩60个（现货）,109.00,//item.jd.com/66740084683.html,58936,0.97,0.018,0.012
67054104674,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 50只一次性口罩（50只装/盒）,68.90,//item.jd.com/67054104674.html,124943,0.92,0.03,0.05
16227489741,振德（ZHENDE）一次性医用口罩防尘防柳絮防花粉阻菌骑行透气 深蓝浅蓝随机发10只每包 1包,24.90,//item.jd.com/16227489741.html,70340,0.98,0.016,0.004
66232427825,蓝湾贝舒一次性医用口罩舒适透气防粉尘防飞沫成人口罩带溶喷层三层防护学生口罩 五十片口罩,78.00,//item.jd.com/66232427825.html,259961,0.95,0.029,0.021
67628125715,闪电卫士一次性防护口罩 3D立体折叠型 无纺布带熔喷层 白色三层学生成人男女通用 3D立体舒适款【50片装】,79.90,//item.jd.com/67628125715.html,27670,0.94,0.035,0.025
66712398836,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 50只(1盒50只装),68.90,//item.jd.com/66712398836.html,318744,0.92,0.031,0.049
100011880260,"京东超市	
unifree 一次性3D立体口罩3层防护防尘男女成人口罩 30片/盒 大童可用",59.50,//item.jd.com/100011880260.html,121731,0.96,0.026,0.014
100006642343,二月花（FEBFLOWER） 一次性口罩50只装  熔喷布防护口罩防粉尘PM2.5颗粒物透气轻薄过滤防飞沫,99.00,//item.jd.com/100006642343.html,44715,0.94,0.025,0.035
100006662239,"京东超市	
安可新 一次性口罩【50片】三层过滤口鼻罩防尘防风防护罩含熔喷布",109.00,//item.jd.com/100006662239.html,157584,0.98,0.014,0.006
100006750669,中服绿盾 一次性使用医用口罩 成人口罩 防细菌防粉尘防飞沫 50片/盒,109.00,//item.jd.com/100006750669.html,36463,0.97,0.022,0.008
67481234813,惠寻 【京东自有品牌】一次性医用口罩 带熔喷层 全塑鼻梁条 蓝色三层成人男女通用拍下24小时发货 医用口罩【50片装】,99.90,//item.jd.com/67481234813.html,473904,0.96,0.025,0.015
65624145328,昭达觉乐3层成人一次性使用医用口罩（非无菌型）  一袋10片 带熔喷层 防飞沫 蓝色,18.00,//item.jd.com/65624145328.html,111539,0.97,0.018,0.012
100011850456,三奇3Q 高效过滤一次性口罩3层挂耳盒装12枚入-12.5cm儿童口罩小尺寸防护口罩,28.00,//item.jd.com/100011850456.html,1337660,0.98,0.016,0.004
67054104675,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 100只一次性口罩（50只装/盒）,128.90,//item.jd.com/67054104675.html,124943,0.92,0.03,0.05
66712398837,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 100只(2盒50只装),128.50,//item.jd.com/66712398837.html,318739,0.92,0.031,0.049
66235396248,惠寻 【京东自有品牌】一次性医用口罩 带熔喷层 全塑鼻梁条 蓝色三层成人男女通用拍下24小时发货 医用口罩【10片装】,22.90,//item.jd.com/66235396248.html,473905,0.96,0.025,0.015
100011850468,三奇3Q 高效过滤一次性口罩3层挂耳盒装12枚入-14.5cm青少年口罩小脸成人口罩小尺寸防护口罩,28.00,//item.jd.com/100011850468.html,1337651,0.98,0.016,0.004
100012620568,京东京造工厂店 典忆一次性医用口罩带熔喷层防护 蓝色三层 成人男女通用50片/盒,119.00,//item.jd.com/100012620568.html,60451,0.96,0.024,0.016
100012075540,京东京造工厂店 乔威康一次性防护口罩 三层立体防护熔喷无纺布过滤口罩50只装,99.00,//item.jd.com/100012075540.html,46514,0.93,0.029,0.041
67813342285,闪电卫士一次性防护口罩 无纺布带熔喷层 全塑鼻梁条 蓝色三层轻薄透气学生成人男女通用 经典款【10片装】,16.90,//item.jd.com/67813342285.html,48300,0.93,0.027,0.043
100007065029,京东京造工厂店 Shuter Life一次性医用口罩【单片独立装】50片/盒 带熔喷层防护 蓝色三层 成人男女通用,139.00,//item.jd.com/100007065029.html,280476,0.95,0.03,0.02
66235396248,惠寻 【京东自有品牌】一次性医用口罩 带熔喷层 全塑鼻梁条 蓝色三层成人男女通用拍下24小时发货 医用口罩【10片装】,22.90,//item.jd.com/66235396248.html,473905,0.96,0.025,0.015
100011850468,三奇3Q 高效过滤一次性口罩3层挂耳盒装12枚入-14.5cm青少年口罩小脸成人口罩小尺寸防护口罩,28.00,//item.jd.com/100011850468.html,1337657,0.98,0.016,0.004
100012620568,京东京造工厂店 典忆一次性医用口罩带熔喷层防护 蓝色三层 成人男女通用50片/盒,119.00,//item.jd.com/100012620568.html,60451,0.96,0.024,0.016
100012075540,京东京造工厂店 乔威康一次性防护口罩 三层立体防护熔喷无纺布过滤口罩50只装,99.00,//item.jd.com/100012075540.html,46514,0.93,0.029,0.041
67813342285,闪电卫士一次性防护口罩 无纺布带熔喷层 全塑鼻梁条 蓝色三层轻薄透气学生成人男女通用 经典款【10片装】,16.90,//item.jd.com/67813342285.html,48300,0.93,0.027,0.043
100007065029,京东京造工厂店 Shuter Life一次性医用口罩【单片独立装】50片/盒 带熔喷层防护 蓝色三层 成人男女通用,139.00,//item.jd.com/100007065029.html,280476,0.95,0.03,0.02
100012094134,京东京造工厂店 好家风 医用口罩一次性熔喷布三层过滤95%防细菌飞沫粉尘挂耳式 50只,125.00,//item.jd.com/100012094134.html,54767,0.95,0.021,0.029
100011994730,振德（ZHENDE）一次性医用无纺布口罩 防尘阻菌医用口罩小脸适用 可爱款萌熊5只装 口罩 浅蓝浅粉橡筋 5只/包,18.80,//item.jd.com/100011994730.html,64775,0.98,0.014,0.006
66815723240,比亚迪口罩 一次性使用医用口罩 防飞沫防花粉 含熔喷无纺布 5包（共50只）到手2.06元/只,103.00,//item.jd.com/66815723240.html,4244,0.98,0.008,0.012
100011848648,"京东超市	
绿之源 绿呼吸 一次性防护口罩50只装（白色 ）熔喷布防护口罩防粉尘PM2.5颗粒物透气轻薄过滤防飞沫",89.00,//item.jd.com/100011848648.html,7059,0.94,0.036,0.024
100011744574,安克林 KN90级 过滤式折叠口罩 成人口罩 防雾霾防颗粒物粉尘 kn90口罩10只装,80.00,//item.jd.com/100011744574.html,57922,0.97,0.022,0.008
67305734441,海氏海诺医用外科口罩一次性透气防尘防病毒三层无纺布医疗防护非无菌 医用外科口罩 50只【10只/袋x5袋非无菌】,108.00,//item.jd.com/67305734441.html,3969,0.95,0.03,0.02
100011491688,"京东超市	
亚都（YADU）带海绵鼻垫 KN95级别 口罩 防雾霾防花粉kn95口罩 非医用n95一次性口罩YD-M510（3pcs）",39.90,//item.jd.com/100011491688.html,109869,0.97,0.023,0.007
100012514678,京东京造工厂店 WXD医用口罩 一次性熔喷布三层过滤95%防飞沫粉尘细菌非灭菌挂耳式 50只装,125.00,//item.jd.com/100012514678.html,9541,0.92,0.034,0.046
100012091450,京东京造工厂店 owgels一次性医用口罩带熔喷层防护 蓝色三层 成人男女通用50片/盒,125.00,//item.jd.com/100012091450.html,280478,0.95,0.03,0.02
100006552437,"京东超市	
Dr.JYS 一次性防护口罩10只  三层立体防护熔喷无纺布过滤防飞沫防尘",19.90,//item.jd.com/100006552437.html,23536,0.96,0.017,0.023
100012521508,京东京造工厂店 博科 防护口罩熔喷无纺布过滤一次性防尘防飞沫 50只装,99.00,//item.jd.com/100012521508.html,11888,0.95,0.028,0.022
100006784859,"京东超市	
安可新 一次性口罩儿童【20片装】青少年口鼻罩 熔喷布口罩垫片三层防护6-14岁",45.90,//item.jd.com/100006784859.html,195625,0.98,0.017,0.003
100006551987,"京东超市	
海氏海诺 一次性防护口罩 平面无纺布口罩 10支装（颜色随机发）",29.90,//item.jd.com/100006551987.html,78991,0.95,0.032,0.018
68482098073,3Q 一次性医用外科口罩轻薄透气医疗专用3层含熔喷过滤层成人男女适用（非无菌型） 口罩1袋10只,25.00,//item.jd.com/68482098073.html,11199,0.98,0.012,0.008
100006704079,"京东超市	
星佰蓓 儿童口罩一次性 学生口罩儿童宝宝防护开学男童女童通用三层含熔喷层 防风防尘不闷透气卡通 20片*1盒",56.80,//item.jd.com/100006704079.html,82452,0.96,0.024,0.016
100011760404,"京东超市	
unifree 一次性防护口罩 含熔喷布 3层防尘防飞沫 10片/袋男女通用",19.90,//item.jd.com/100011760404.html,20461,0.93,0.044,0.026
100007002245,维德 WELLDAY 一次性成人口罩医用外科口罩无菌防护透气清薄三层挂耳式10只（10只*1袋）,30.80,//item.jd.com/100007002245.html,225319,0.96,0.025,0.015
67415973165,维德（WELLDAY）一次性使用医用外科口罩成人无菌防尘防柳絮透气防护10只/袋【颜色包装随机发】 外科口罩【2袋】,47.60,//item.jd.com/67415973165.html,16364,0.96,0.012,0.028
66594684085,【医用现货】医用口罩一次性口罩熔喷布无纺布三层医用级防尘防细菌防飞沫【24小时内高效发货】 【医用】10片/包,19.90,//item.jd.com/66594684085.html,86213,0.96,0.025,0.015
66288545517,【现货当天发-20只装】一次性医用外科口罩 成人无菌挂耳式 防细菌防飞沫传播防御隔离病菌 医用外科口罩【20片装】,69.00,//item.jd.com/66288545517.html,79197,0.96,0.015,0.025
65890567233,3Q高效过滤口罩 防粉尘防沙尘透气专用成人男女通用3层含熔喷过滤层一次性口罩 1盒20只 盒装,37.90,//item.jd.com/65890567233.html,102733,0.96,0.022,0.018
100011744576,安克林 KN95级 过滤式折叠口罩 成人口罩 防雾霾防颗粒物粉尘 kn95口罩10只装,139.00,//item.jd.com/100011744576.html,57918,0.97,0.022,0.008
67054104670,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 10只一次性口罩（10只装/盒）,21.90,//item.jd.com/67054104670.html,124927,0.92,0.03,0.05
100011848638,"京东超市	
绿之源 绿呼吸 一次性无纺布口罩50只装（蓝色 ）防尘防花粉尾气含熔喷布过滤颗粒物耳戴折叠式立体防护亲肤",89.00,//item.jd.com/100011848638.html,7058,0.94,0.036,0.024
66594684085,【医用现货】医用口罩一次性口罩熔喷布无纺布三层医用级防尘防细菌防飞沫【24小时内高效发货】 【医用】10片/包,19.90,//item.jd.com/66594684085.html,86213,0.96,0.025,0.015
66288545517,【现货当天发-20只装】一次性医用外科口罩 成人无菌挂耳式 防细菌防飞沫传播防御隔离病菌 医用外科口罩【20片装】,69.00,//item.jd.com/66288545517.html,79197,0.96,0.015,0.025
65890567233,3Q高效过滤口罩 防粉尘防沙尘透气专用成人男女通用3层含熔喷过滤层一次性口罩 1盒20只 盒装,37.90,//item.jd.com/65890567233.html,102733,0.96,0.022,0.018
100011744576,安克林 KN95级 过滤式折叠口罩 成人口罩 防雾霾防颗粒物粉尘 kn95口罩10只装,139.00,//item.jd.com/100011744576.html,57918,0.97,0.022,0.008
67054104670,绚康 一次性口罩 三层熔喷布防尘透气口鼻罩蓝色 现货速发 10只一次性口罩（10只装/盒）,21.90,//item.jd.com/67054104670.html,124927,0.92,0.03,0.05
100011848638,"京东超市	
绿之源 绿呼吸 一次性无纺布口罩50只装（蓝色 ）防尘防花粉尾气含熔喷布过滤颗粒物耳戴折叠式立体防护亲肤",89.00,//item.jd.com/100011848638.html,7058,0.94,0.036,0.024
100012624062,五菱宝菱康一次性防护口罩含熔喷布3层防尘防飞沫10只/袋,22.00,//item.jd.com/100012624062.html,7024,0.98,0.014,0.006
100011782762,京东京造工厂店 owgels一次性医用口罩带熔喷层防护 蓝色三层 成人男女通用10片/包,29.90,//item.jd.com/100011782762.html,280473,0.95,0.03,0.02
66245775422,惠寻 【京东自有品牌】 一次性使用医用口罩带熔喷层防护蓝色三层条成人男女通用 拍下24小时发货 10片装医用口罩（非无菌型）,19.90,//item.jd.com/66245775422.html,52680,0.95,0.031,0.019
100011985728,"京东超市	
倍舒特 一次性防护口罩 含熔喷布 3层防尘防飞沫 30片/盒 慕风",72.00,//item.jd.com/100011985728.html,27391,0.92,0.047,0.033
100006832443,云南白药医用防护N95口罩折叠款喷熔布阻隔飞沫防细菌【独立包装20只】,299.00,//item.jd.com/100006832443.html,1420,0.94,0.025,0.035
66712398832,科西诺 一次性口罩 三层防护含熔喷层无纺布防尘透气 10只(1盒10只装),17.80,//item.jd.com/66712398832.html,318738,0.92,0.031,0.049
67305734440,海氏海诺医用外科口罩一次性透气防尘防病毒三层无纺布医疗防护非无菌 医用外科口罩 10只/袋【非无菌】,25.80,//item.jd.com/67305734440.html,3970,0.95,0.03,0.02
100012868308,"
YANDY 一次性使用医用口罩50片（无菌款  细菌过滤率≥95%  三层过滤  舒适透气）",149.00,//item.jd.com/100012868308.html,579,0.96,0.023,0.017
100006774625,弓立 一次性防护口罩 防粉尘防飞沫传播3层含熔喷过滤层耳挂式成人口罩 50只/盒（三种包装随机发货）,99.00,//item.jd.com/100006774625.html,3656,0.93,0.039,0.031
68703631250,云南白药一次性医用外科口罩含熔喷布3层防护男女通用防尘防柳絮防花粉 一次性医用30只/袋,79.00,//item.jd.com/68703631250.html,1207,0.96,0.012,0.028
100006774619,麦迪康 普通医用口罩 防粉尘防飞沫传播3层含熔喷过滤层耳挂式成人医用口罩（50只/盒）,135.00,//item.jd.com/100006774619.html,23147,0.93,0.038,0.032
66232427823,蓝湾贝舒一次性医用口罩舒适透气防粉尘防飞沫成人口罩带溶喷层三层防护学生口罩 十片装,25.80,//item.jd.com/66232427823.html,259959,0.95,0.029,0.021
66231452483,优禾康一次性医用口罩50只无纺布熔喷布防尘雾霾三层透气防护医疗正品 医用口罩50只[5小袋 1袋10只],89.00,//item.jd.com/66231452483.html,167,0.98,0.012,0.008
100012549008,可来福（Clivee）一次性医用外科口罩透气轻薄成人3层含熔喷过滤层无菌医用外科口罩1包10只装,28.00,//item.jd.com/100012549008.html,23180,0.96,0.031,0.009
67383212065,【药企生产】蛮龙 医用口罩 一次性使用医用口罩 含熔喷无纺布复工防护医用口罩戴挂耳挂式三层防飞沫 1袋（共10个）,18.00,//item.jd.com/67383212065.html,2280,0.97,0.025,0.005
100012924640,京东京造工厂店 Shuter Life 儿童款一次性防护口罩【单片独立装】三层防护 20片/盒,56.00,//item.jd.com/100012924640.html,280477,0.95,0.03,0.02
67281899935,维德（WELLDAY）医用口罩一次性成人无菌防尘防柳絮透气防护蓝色浅绿色 口罩20只（颜色包装随机）,38.80,//item.jd.com/67281899935.html,61893,0.97,0.019,0.011
67266816852,ESound Med亿信口罩一次性医用外科口罩40个三层过滤含熔喷层无纺布成人款口罩高效防护耳挂式,119.60,//item.jd.com/67266816852.html,36961,0.95,0.031,0.019
66614180980,稳健（Winner）一次性医用口罩非独立包装20片/袋 成人蓝色防雾霾防病菌男女3层医用无菌护理口罩 稳健一次性医用口罩（非独立包装）20片/袋,59.90,//item.jd.com/66614180980.html,3959,0.95,0.017,0.033
100012841680,振德（ZHENDE）KN95口罩一次性使用口罩PM2.5防雾霾口罩自吸过滤式坊颗粒物呼吸器 3只/1袋 非独立包装,39.90,//item.jd.com/100012841680.html,844,0.98,0.014,0.006
67730833672,稳健Winner 医用护理口罩 挂耳型男女成人防雾霾防病菌3层防护透气一次性医用口罩 50只（10只/小包）,147.50,//item.jd.com/67730833672.html,7989,0.94,0.019,0.041
100008169418,"
MASTO口罩双鼻条三层立体防护成人款 防雾霾 一次性 轻薄夏季适用 防尘防花粉（独立包装）7枚",29.90,//item.jd.com/100008169418.html,6504,0.96,0.026,0.014
100012162746,"京东超市	
佳佰一次性使用防护口罩 加厚防颗粒物防尘透气口罩 一次性口罩(30只)",49.90,//item.jd.com/100012162746.html,2561,0.93,0.04,0.03
100006332577,"
上善好THE GOOD口罩韩国进口KF94 成人口罩 防颗粒防飞沫防花粉粉尘 5只装",129.00,//item.jd.com/100006332577.html,106818,0.97,0.018,0.012
66614180980,稳健（Winner）一次性医用口罩非独立包装20片/袋 成人蓝色防雾霾防病菌男女3层医用无菌护理口罩 稳健一次性医用口罩（非独立包装）20片/袋,59.90,//item.jd.com/66614180980.html,3959,0.95,0.017,0.033
100012841680,振德（ZHENDE）KN95口罩一次性使用口罩PM2.5防雾霾口罩自吸过滤式坊颗粒物呼吸器 3只/1袋 非独立包装,39.90,//item.jd.com/100012841680.html,844,0.98,0.014,0.006
67730833672,稳健Winner 医用护理口罩 挂耳型男女成人防雾霾防病菌3层防护透气一次性医用口罩 50只（10只/小包）,147.50,//item.jd.com/67730833672.html,7989,0.94,0.019,0.041
100008169418,"
MASTO口罩双鼻条三层立体防护成人款 防雾霾 一次性 轻薄夏季适用 防尘防花粉（独立包装）7枚",29.90,//item.jd.com/100008169418.html,6504,0.96,0.026,0.014
100012162746,"京东超市	
佳佰一次性使用防护口罩 加厚防颗粒物防尘透气口罩 一次性口罩(30只)",49.90,//item.jd.com/100012162746.html,2561,0.93,0.04,0.03
100006332577,"
上善好THE GOOD口罩韩国进口KF94 成人口罩 防颗粒防飞沫防花粉粉尘 5只装",129.00,//item.jd.com/100006332577.html,106818,0.97,0.018,0.012
100012869064,特优达 TEYOUDA 一次性医用外科口罩3层无菌防护防飞沫医用标准含有熔喷布独立包装,3.90,//item.jd.com/100012869064.html,44767,0.96,0.022,0.018
100008169390,MASTO口罩独立包装三层立体防护儿童款男女通用 防雾霾 一次性 轻薄夏季适用 防花粉独立包装 7枚白色,29.90,//item.jd.com/100008169390.html,6501,0.96,0.026,0.014
68069905133,【资质齐全可接单】一次性口罩 优质熔喷布过滤层 全塑鼻梁条 防粉尘防沙尘透气三层成人男女通用 【三层防护】蓝色10只,14.90,//item.jd.com/68069905133.html,7633,0.94,0.039,0.021
67628125714,闪电卫士一次性防护口罩 3D立体折叠型 无纺布带熔喷层 白色三层学生成人男女通用 3D立体舒适款【20片装】,32.90,//item.jd.com/67628125714.html,27666,0.94,0.035,0.025
68427476592,锐盾一次性口罩50只装防飞沫防护三层熔喷布成人男女士 ce认证 防尘雾霾透气口鼻罩白色蓝色 白色【50支】下单联系可提供证书,99.00,//item.jd.com/68427476592.html,1037,0.95,0.01,0.04
100006518709,昵迪 KN95级别一次性口罩立体折叠防尘PM2.5防雾霾口罩 白色无阀四层防飞沫（1盒10个））,119.00,//item.jd.com/100006518709.html,13704,0.96,0.023,0.017
100011596570,优屹（UE）一次性口罩三层防护防尘防飞沫透气男女通用 10只/袋 蓝色三层成人款,22.00,//item.jd.com/100011596570.html,40539,0.97,0.022,0.008
100012563868,三枪（THREEGUN）一次性使用口罩 防粉尘防飞沫传播3层含熔喷过滤层耳挂式成人口罩 （10只/包）,18.90,//item.jd.com/100012563868.html,443,0.97,0.02,0.01
66759469892,昵迪 KN95立体折叠过滤级别防飞沫雾霾防尘PM2.5四层含熔喷布一次性口罩 【KN95无呼吸阀口罩】-10片白色装,69.00,//item.jd.com/66759469892.html,7168,0.96,0.031,0.009
100012332570,京东京造工厂店 mikibobo儿童一次性防护口罩 三层立体防护熔喷无纺布过滤口罩50只装 S码,129.00,//item.jd.com/100012332570.html,32965,0.96,0.023,0.017
68660863546,"京东超市	
绿之源 绿呼吸一次性无纺布口罩蓝色三层50只/盒 防尘防风防尾气异味过滤颗粒物飞沫男女通用熔喷布口罩",89.00,//item.jd.com/68660863546.html,197,0.89,0.11,0.0
100006767057,"京东超市	
亚都（YADU）KN95级别 口罩 防雾霾防花粉 kn95口罩 独立包装 非医用一次性口罩 YD-M510（5pcs）",69.90,//item.jd.com/100006767057.html,109862,0.97,0.023,0.007
65856957396,瑞富康民用透气轻薄成人3层一次性防尘口罩1袋10只 1袋（10只）,22.00,//item.jd.com/65856957396.html,174014,0.94,0.026,0.034
66482722630,维德（WELLDAY）医用口罩一次性成人无菌防尘防柳絮透气防护蓝色浅绿色 口罩10只/袋(颜色包装随机),19.90,//item.jd.com/66482722630.html,61892,0.97,0.019,0.011
28216322038,"京东超市	
绿德【可水洗】防尘聚氨酯口罩男女防晒网红潮成人透气 时尚款黑色3只装 立体",29.90,//item.jd.com/28216322038.html,174133,0.93,0.025,0.045
100006803931,众泰恩 医用外科口罩 一次性3层无菌挂耳 1片／袋 10只/盒 蓝色,39.00,//item.jd.com/100006803931.html,43101,0.95,0.019,0.031
100009567574,LIFAair LM98D kn95带阀防护口罩 折叠耳带式 防飞沫防雾霾防粉尘口罩（10只装）,99.00,//item.jd.com/100009567574.html,4373,0.97,0.019,0.011
